Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp3(2)	153	Shared (Strict)	yes	Sp3(2)
Root	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Root	Sp3(11)	372	Shared (Strict)	yes	Sp3(11)
Root	Sp3(9)	517	Shared (Strict)	yes	Sp3(9)
Root	Sp3(13)	958	Shared (Strict)	yes	Sp3(13)
Root	Sp8(17)	139	Shared (Strict)	yes	Sp8(17)
Root	Sp10(14)	995	Nested (Strict)	yes	Sp10(14)
Root	Sp11(11)	210	Outgroup-Arbitrated-Nested	yes	Sp11(11)
Root	Sp8(5)	189	Missing-Family-Rescue	yes	Sp8(5)
Root	Sp3(6)	887	Missing-Family-Rescue	yes	Sp3(6)
Anc1	Sp3(2)	153	Shared (Strict)	yes	Sp3(2)
Anc1	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Anc1	Sp10(7)	79	Shared (Strict)	no	
Anc1	Sp3(11)	372	Shared (Strict)	yes	Sp3(11)
Anc1	Sp11(11)	210	Shared (Strict)	yes	Sp11(11)
Anc1	Sp10(14)	995	Shared (Strict)	yes	Sp10(14)
Anc1	Sp1(3)	818	Cleaned-Merge	no	
Anc1	Sp1(10)	318	Cleaned-Merge	no	
Anc1	Sp10(9)	955	Cleaned-Merge	no	
Anc1	Sp11(12)	520	Cleaned-Merge	no	
Anc3	Sp3(2)	153	Shared (Strict)	yes	Sp3(2)
Anc3	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Anc3	Sp1(3)	818	Shared (Strict)	no	
Anc3	Sp10(7)	79	Shared (Strict)	no	
Anc3	Sp3(9)	517	Shared (Strict)	yes	Sp3(9)
Anc3	Sp3(11)	372	Shared (Strict)	yes	Sp3(11)
Anc3	Sp3(13)	958	Shared (Strict)	yes	Sp3(13)
Anc3	Sp1(10)	318	Shared (Strict)	no	
Anc3	Sp1(7)	363	Cleaned-Merge	no	
Anc3	Sp1(9)	842	Cleaned-Merge	no	
Anc4_preWGD	Sp3(2)	153	Shared (Strict)	yes	Sp3(2)
Anc4_preWGD	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Anc4_preWGD	Sp10(5)	997	Shared (Strict)	no	
Anc4_preWGD	Sp10(7)	79	Shared (Strict)	no	
Anc4_preWGD	Sp10(9)	955	Shared (Strict)	no	
Anc4_preWGD	Sp10(12)	511	Shared (Strict)	no	
Anc4_preWGD	Sp10(14)	995	Shared (Strict)	yes	Sp10(14)
Anc4_preWGD	Sp11(11)	210	Shared (Strict)	yes	Sp11(11)
Anc4_preWGD	Sp11(12)	520	Shared (Strict)	no	
Anc4_preWGD	Sp8(17)	139	Shared (Strict)	yes	Sp8(17)
Anc4	Sp3(2)	153	Shared (Strict)	yes	Sp3(2)
Anc4	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Anc4	Sp10(5)	997	Shared (Strict)	no	
Anc4	Sp10(7)	79	Shared (Strict)	no	
Anc4	Sp10(9)	955	Shared (Strict)	no	
Anc4	Sp10(12)	511	Shared (Strict)	no	
Anc4	Sp10(14)	995	Shared (Strict)	yes	Sp10(14)
Anc4	Sp11(11)	210	Shared (Strict)	yes	Sp11(11)
Anc4	Sp11(12)	520	Shared (Strict)	no	
Anc4	Sp8(17)	139	Shared (Strict)	yes	Sp8(17)
Anc7	Sp3(2)	153	Shared (Strict)	yes	Sp3(2)
Anc7	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Anc7	Sp10(5)	997	Shared (Strict)	no	
Anc7	Sp10(7)	79	Shared (Strict)	no	
Anc7	Sp10(9)	955	Shared (Strict)	no	
Anc7	Sp10(12)	511	Shared (Strict)	no	
Anc7	Sp10(14)	995	Shared (Strict)	yes	Sp10(14)
Anc7	Sp11(8)	1024	Shared (Strict)	no	
Anc7	Sp11(11)	210	Nested (Strict)	yes	Sp11(11)
Anc7	Sp8(17)	139	Shared (Strict)	yes	Sp8(17)
Anc2_preWGD	Sp3(2)	153	Shared (Strict)	yes	Sp3(2)
