Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp3(1)	153	Shared (Strict)	yes	Sp3(1)
Root	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Root	Sp3(7)	887	Shared (Strict)	yes	Sp3(7)
Root	Sp3(11)	372	Shared (Strict)	yes	Sp3(11)
Root	Sp3(14)	210	Shared (Strict)	yes	Sp3(14)
Root	Sp3(16)	958	Shared (Strict)	yes	Sp3(16)
Root	Sp3(20)	139	Shared (Strict)	yes	Sp3(20)
Root	Sp3(23)	649	Shared (Strict)	yes	Sp3(23)
Root	Sp8(20)	488	Shared (Strict)	yes	Sp8(20)
Root	Sp8(9)	517	Shared (Strict)	yes	Sp8(9)
Root	Sp8(26)	972	Shared (Strict)	yes	Sp8(26)
Root	Sp1(14)	448	Nested (Strict)	yes	Sp1(14)
Root	Sp10(26)	440	Nested (Strict)	yes	Sp10(26)
Root	Sp1(9)	995	Fusion-Outgroup-Validated	yes	Sp1(9)
Root	Sp10(5)	189	Fusion-Outgroup-Validated	yes	Sp10(5)
Root	Sp10(24)	675	Outgroup-Arbitrated-Nested	yes	Sp10(24)
Anc1	Sp3(1)	153	Shared (Strict)	yes	Sp3(1)
Anc1	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Anc1	Sp3(7)	887	Shared (Strict)	yes	Sp3(7)
Anc1	Sp3(11)	372	Shared (Strict)	yes	Sp3(11)
Anc1	Sp3(14)	210	Shared (Strict)	yes	Sp3(14)
Anc1	Sp3(16)	958	Shared (Strict)	yes	Sp3(16)
Anc1	Sp1(9)	995	Shared (Strict)	yes	Sp1(9)
Anc1	Sp3(20)	139	Shared (Strict)	yes	Sp3(20)
Anc1	Sp3(23)	649	Shared (Strict)	yes	Sp3(23)
Anc1	Sp1(14)	448	Shared (Strict)	yes	Sp1(14)
Anc1	Sp10(24)	675	Shared (Strict)	yes	Sp10(24)
Anc1	Sp1(13a)	145	Nested (Strict)	no	
Anc1	Sp8(20)	488	Nested (Strict)	yes	Sp8(20)
Anc3	Sp3(1)	153	Shared (Strict)	yes	Sp3(1)
Anc3	Sp3(3)	374	Shared (Strict)	yes	Sp3(3)
Anc3	Sp1(3)	607	Shared (Strict)	no	
