Node	Type	Chromosomes	Position	Details
--------------------------------------------------------------------------------
Anc1      	Inversion      	D              	523-569             	Inverted
Anc1      	NCF            	C, H           	C:19                	Inserted donor=H into recipient=C; donor_orient=HT
Anc1      	EEJ            	K, L           	End-End             	Fused; mode=HH
Anc3      	Inversion      	J              	149-173             	Inverted
Anc3      	NCF            	I, B           	I:272               	Inserted donor=B into recipient=I; donor_orient=TH
Anc7      	Inversion      	F              	141-646             	Inverted
Anc7      	RCT            	I, D           	I:411|D:413         	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Anc7      	NCF            	J, A           	J:294               	Inserted donor=A into recipient=J; donor_orient=HT
Sp12      	Inversion      	D              	150-231             	Inverted
Sp11      	Inversion      	D              	10-792              	Inverted
Anc8      	Inversion      	M              	415-481             	Inverted
Sp10      	Inversion      	M              	168-228             	Inverted
Sp10      	RCT            	D, F           	D:596|F:447         	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Sp9       	Inversion      	A              	465-542             	Inverted
Sp9       	RCT            	C, A           	C:58|A:4            	Swapped with alternate end pairing; pairing=AL-BL/AR-BR
Sp9       	EEJ            	G, M           	End-End             	Fused; mode=TT
Anc4      	Inversion      	I              	88-598              	Inverted
Anc10     	EEJ            	B, I           	End-End             	Fused; mode=TH
Anc15     	Inversion      	K              	74-871              	Inverted
Anc15     	RCT            	A, F           	A:408|F:434         	Swapped tails; pairing=AL-BR/BL-AR
Sp3       	Inversion      	B              	98-143              	Inverted
Sp3       	RCT            	C, D           	C:218|D:140         	Swapped tails; pairing=AL-BR/BL-AR
Sp3       	EEJ            	A, M           	End-End             	Fused; mode=TH
Anc19     	Inversion      	M              	88-398              	Inverted
Anc19     	NCF            	C, D           	C:252               	Inserted donor=D into recipient=C; donor_orient=TH
Sp2       	Inversion      	J              	256-275             	Inverted
Sp1       	Inversion      	F              	193-491             	Inverted
Sp1       	RCT            	K, J           	K:453|J:160         	Swapped tails; pairing=AL-BR/BL-AR
Sp1       	NCF            	G, B           	G:49                	Inserted donor=B into recipient=G; donor_orient=HT
Anc16     	Inversion      	F              	547-630             	Inverted
Anc16     	RCT            	F, K           	F:151|K:1077        	Swapped tails; pairing=AL-BR/BL-AR
Sp21      	Inversion      	C              	765-1023            	Inverted
Sp21      	NCF            	A, C           	A:61                	Inserted donor=C into recipient=A; donor_orient=TH
Sp21      	EEJ            	A, K           	End-End             	Fused; mode=HT
Sp20      	Inversion      	C              	218-235             	Inverted
