Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp6(1)	192	Shared (Strict)	yes	Sp6(1)
Root	Sp6(2)	300	Shared (Strict)	yes	Sp6(2)
Root	Sp6(4)	857	Shared (Strict)	yes	Sp6(4)
Root	Sp6(5)	409	Shared (Strict)	yes	Sp6(5)
Root	Sp6(6)	961	Shared (Strict)	yes	Sp6(6)
Root	Sp8(8)	865	Shared (Strict)	yes	Sp8(8)
Root	Sp5(9)	409	Shared (Strict)	yes	Sp5(9)
Root	Sp4(12)	460	Shared (Strict)	yes	Sp4(12)
Root	Sp2(9)	190	Shared (Strict)	yes	Sp2(9)
Root	Sp6(9)	288	Shared (Strict)	yes	Sp6(9)
Root	Sp4(7)	181	Shared (Strict)	yes	Sp4(7)
Root	Sp1(12)	839	Cleaned-Merge	yes	Sp1(12)
Root	Sp1(3)	253	Cleaned-Merge	yes	Sp1(3)
Anc1	Sp6(1)	192	Shared (Strict)	yes	Sp6(1)
Anc1	Sp6(2)	300	Shared (Strict)	yes	Sp6(2)
Anc1	Sp6(4)	857	Shared (Strict)	yes	Sp6(4)
Anc1	Sp6(5)	409	Shared (Strict)	yes	Sp6(5)
Anc1	Sp6(6)	961	Shared (Strict)	yes	Sp6(6)
Anc1	Sp8(8)	865	Shared (Strict)	yes	Sp8(8)
Anc1	Sp5(9)	409	Shared (Strict)	yes	Sp5(9)
Anc1	Sp4(12)	460	Nested (Strict)	yes	Sp4(12)
Anc1	Sp2(9)	190	Nested (Strict)	yes	Sp2(9)
Anc1	Sp5(3)	1092	Cleaned-Merge	no	
Anc1	Sp4(7)	181	Cleaned-Merge	yes	Sp4(7)
Anc4	Sp6(1)	192	Shared (Strict)	yes	Sp6(1)
Anc4	Sp6(2)	300	Shared (Strict)	yes	Sp6(2)
Anc4	Sp5(3)	1092	Shared (Strict)	no	
Anc4	Sp6(6)	961	Shared (Strict)	yes	Sp6(6)
Anc4	Sp4(7)	181	Shared (Strict)	yes	Sp4(7)
Anc4	Sp8(8)	865	Shared (Strict)	yes	Sp8(8)
Anc4	Sp5(9)	409	Shared (Strict)	yes	Sp5(9)
Anc4	Sp2(9)	190	Shared (Strict)	yes	Sp2(9)
Anc4	Sp4(12)	460	Shared (Strict)	yes	Sp4(12)
Anc4	Sp6(4)	857	Nested (Strict)	yes	Sp6(4)
Anc4	Sp4(5)	248	Cleaned-Merge	no	
Anc4	Sp4(9)	449	Cleaned-Merge	no	
Anc2	Sp6(4)	857	Shared (Strict)	yes	Sp6(4)
Anc2	Sp6(5)	409	Shared (Strict)	yes	Sp6(5)
Anc2	Sp6(6)	961	Shared (Strict)	yes	Sp6(6)
Anc2	Sp5(9)	409	Shared (Strict)	yes	Sp5(9)
Anc2	Sp2(9)	190	Shared (Strict)	yes	Sp2(9)
Anc2	Sp4(12)	460	Shared (Strict)	yes	Sp4(12)
Anc2	Sp1(12)	839	Shared (Strict)	yes	Sp1(12)
Anc2	Sp1(3)	253	Shared (Strict)	yes	Sp1(3)
Anc2	Sp6(2)	300	Nested (Strict)	yes	Sp6(2)
Anc2	Sp8(8)	865	Nested (Strict)	yes	Sp8(8)
Anc2	Sp8(2):301-628	328	Cleaned-Merge	no	
Anc2	Sp8(7)	141	Cleaned-Merge	no	
Anc5	Sp1(1)	1057	Shared (Strict)	no	
Anc5	Sp6(2)	300	Shared (Strict)	yes	Sp6(2)
Anc5	Sp6(4)	857	Shared (Strict)	yes	Sp6(4)
Anc5	Sp6(5)	409	Shared (Strict)	yes	Sp6(5)
Anc5	Sp6(6)	961	Shared (Strict)	yes	Sp6(6)
Anc5	Sp4(7)	181	Shared (Strict)	yes	Sp4(7)
Anc5	Sp5(9)	409	Shared (Strict)	yes	Sp5(9)
Anc5	Sp2(9)	190	Shared (Strict)	yes	Sp2(9)
Anc5	Sp4(12)	460	Shared (Strict)	yes	Sp4(12)
Anc5	Sp1(12)	839	Shared (Strict)	yes	Sp1(12)
Anc5	Sp1(3)	253	Nested (Strict)	yes	Sp1(3)
Anc6	Sp6(1)	192	Shared (Strict)	yes	Sp6(1)
Anc6	Sp8(2)	628	Shared (Strict)	no	
Anc6	Sp1(3)	253	Shared (Strict)	yes	Sp1(3)
Anc6	Sp6(4)	857	Shared (Strict)	yes	Sp6(4)
Anc6	Sp6(5)	409	Shared (Strict)	yes	Sp6(5)
Anc6	Sp6(6)	961	Shared (Strict)	yes	Sp6(6)
Anc6	Sp8(7)	141	Shared (Strict)	no	
Anc6	Sp8(8)	865	Shared (Strict)	yes	Sp8(8)
Anc6	Sp5(9)	409	Shared (Strict)	yes	Sp5(9)
Anc6	Sp2(9)	190	Shared (Strict)	yes	Sp2(9)
Anc6	Sp4(12)	460	Shared (Strict)	yes	Sp4(12)
Anc6	Sp1(12)	839	Shared (Strict)	yes	Sp1(12)
