Scenario	SpeciesCount	AncestorChromosomeCount	BranchCount	TrueChrCount	ReconstructedChrCount	ExactMatchCount	ExactMatchRate	GeneCoverage	P_Inversion	P_RCT	P_NCF	P_EEJ	P_WGD	Inversion	RCT	NCF	EEJ	WGD
scenario_001	18	10	38	10	10	10	100.0%	100.0%	0.628	0.277	0.373	0.203	0.14	27 (0.71)	11 (0.29)	9 (0.24)	9 (0.24)	4 (0.11)
scenario_002	8	16	15	16	16	16	100.0%	100.0%	0.663	0.75	0.501	0.387	0.153	10 (0.67)	11 (0.73)	6 (0.40)	7 (0.47)	1 (0.07)
scenario_003	14	23	29	23	23	23	100.0%	100.0%	0.774	0.418	0.534	0.393	0.182	25 (0.86)	18 (0.62)	16 (0.55)	11 (0.38)	3 (0.10)
scenario_004	12	20	22	20	20	20	100.0%	100.0%	0.721	0.64	0.372	0.369	0.064	16 (0.73)	14 (0.64)	7 (0.32)	11 (0.50)	0 (0.00)
scenario_005	9	19	18	19	19	19	100.0%	100.0%	0.737	0.478	0.468	0.254	0.12	16 (0.89)	13 (0.72)	10 (0.56)	4 (0.22)	2 (0.11)
scenario_006	13	9	24	9	9	9	100.0%	100.0%	0.932	0.38	0.281	0.404	0.015	23 (0.96)	7 (0.29)	5 (0.21)	14 (0.58)	0 (0.00)
scenario_007	16	17	36	17	17	17	100.0%	100.0%	0.771	0.525	0.068	0.449	0.116	30 (0.83)	16 (0.44)	1 (0.03)	14 (0.39)	6 (0.17)
scenario_008	9	18	20	18	18	18	100.0%	100.0%	0.874	0.615	0.092	0.587	0.194	18 (0.90)	12 (0.60)	0 (0.00)	12 (0.60)	4 (0.20)
scenario_009	15	15	28	15	15	15	100.0%	100.0%	0.905	0.265	0.089	0.41	0.067	26 (0.93)	7 (0.25)	1 (0.04)	9 (0.32)	0 (0.00)
scenario_010	11	23	20	23	23	23	100.0%	100.0%	0.794	0.286	0.529	0.798	0.012	15 (0.75)	8 (0.40)	10 (0.50)	17 (0.85)	0 (0.00)
scenario_011	12	8	22	8	8	8	100.0%	100.0%	0.739	0.566	0.372	0.147	0.085	14 (0.64)	14 (0.64)	11 (0.50)	3 (0.14)	0 (0.00)
scenario_012	17	13	37	13	13	13	100.0%	100.0%	0.925	0.494	0.432	0.138	0.109	35 (0.95)	13 (0.35)	15 (0.41)	4 (0.11)	5 (0.14)
scenario_013	10	21	21	21	21	21	100.0%	100.0%	0.861	0.474	0.248	0.703	0.133	19 (0.90)	7 (0.33)	4 (0.19)	17 (0.81)	3 (0.14)
scenario_014	9	13	17	13	13	13	100.0%	100.0%	0.854	0.748	0.467	0.507	0.183	14 (0.82)	10 (0.59)	7 (0.41)	11 (0.65)	1 (0.06)
scenario_015	16	7	36	7	7	7	100.0%	100.0%	0.541	0.766	0.078	0.367	0.167	16 (0.44)	25 (0.69)	3 (0.08)	8 (0.22)	6 (0.17)
scenario_016	8	18	14	18	18	18	100.0%	100.0%	0.666	0.339	0.457	0.352	0.002	10 (0.71)	6 (0.43)	5 (0.36)	8 (0.57)	0 (0.00)
scenario_017	17	13	36	13	14	13	100.0%	100.0%	0.813	0.171	0.1	0.285	0.08	30 (0.83)	10 (0.28)	2 (0.06)	11 (0.31)	4 (0.11)
scenario_018	11	9	21	9	9	9	100.0%	100.0%	0.741	0.612	0.339	0.429	0.045	13 (0.62)	11 (0.52)	11 (0.52)	10 (0.48)	1 (0.05)
scenario_019	12	16	26	16	16	16	100.0%	100.0%	0.86	0.37	0.554	0.796	0.141	22 (0.85)	4 (0.15)	9 (0.35)	21 (0.81)	4 (0.15)
scenario_020	15	12	30	12	12	12	100.0%	100.0%	0.896	0.193	0.272	0.764	0.07	29 (0.97)	6 (0.20)	9 (0.30)	25 (0.83)	2 (0.07)
scenario_021	17	12	40	12	12	12	100.0%	100.0%	0.87	0.658	0.126	0.557	0.132	34 (0.85)	23 (0.57)	4 (0.10)	15 (0.38)	8 (0.20)
scenario_022	15	21	29	21	21	21	100.0%	100.0%	0.556	0.459	0.28	0.347	0.151	16 (0.55)	14 (0.48)	5 (0.17)	9 (0.31)	1 (0.03)
scenario_023	15	10	31	10	10	10	100.0%	100.0%	0.627	0.744	0.07	0.736	0.09	14 (0.45)	24 (0.77)	1 (0.03)	23 (0.74)	3 (0.10)
scenario_024	14	16	26	16	16	16	100.0%	100.0%	0.53	0.588	0.189	0.471	0.013	12 (0.46)	16 (0.62)	5 (0.19)	10 (0.38)	0 (0.00)
scenario_025	9	16	17	16	16	16	100.0%	100.0%	0.862	0.363	0.267	0.093	0.16	13 (0.76)	7 (0.41)	3 (0.18)	2 (0.12)	1 (0.06)
scenario_026	9	10	18	10	10	10	100.0%	100.0%	0.509	0.223	0.401	0.775	0.11	12 (0.67)	3 (0.17)	8 (0.44)	15 (0.83)	2 (0.11)
scenario_027	19	21	36	21	21	21	100.0%	100.0%	0.922	0.72	0.489	0.268	0.027	33 (0.92)	29 (0.81)	22 (0.61)	10 (0.28)	0 (0.00)
scenario_028	18	8	40	8	9	8	100.0%	100.0%	0.779	0.647	0.566	0.028	0.118	33 (0.82)	23 (0.57)	23 (0.57)	1 (0.03)	6 (0.15)
scenario_029	9	16	19	16	16	16	100.0%	100.0%	0.506	0.236	0.339	0.75	0.153	7 (0.37)	2 (0.11)	4 (0.21)	12 (0.63)	3 (0.16)
scenario_030	13	23	27	23	23	23	100.0%	100.0%	0.928	0.133	0.076	0.495	0.083	25 (0.93)	2 (0.07)	0 (0.00)	14 (0.52)	3 (0.11)
