Node	ChrID	GenesCount	Provenance	InheritedFromRoot	RootChrID
Root	Sp8(3)	812	Shared (Strict)	yes	Sp8(3)
Root	Sp8(4)	880	Shared (Strict)	yes	Sp8(4)
Root	Sp12(5)	573	Shared (Strict)	yes	Sp12(5)
Root	Sp6(9)	198	Shared (Strict)	yes	Sp6(9)
Root	Sp3(9)	564	Shared (Strict)	yes	Sp3(9)
Root	Sp8(8)	787	Shared (Strict)	yes	Sp8(8)
Root	Sp8(2)	392	Shared (Strict)	yes	Sp8(2)
Root	Sp8(13)	610	Shared (Strict)	yes	Sp8(13)
Root	Sp12(11)	713	Shared (Strict)	yes	Sp12(11)
Root	Sp12(13)	119	Shared (Strict)	yes	Sp12(13)
Root	Sp8(7)	478	Shared (Strict)	yes	Sp8(7)
Root	Sp12(7)	815	Nested (Strict)	yes	Sp12(7)
Root	Sp12(12)	723	Nested (Strict)	yes	Sp12(12)
Root	Sp1(1)	139	Nested (Strict)	yes	Sp1(1)
Root	Sp10(5)	247	Fusion-Outgroup-Validated	yes	Sp10(5)
Root	Sp8(9)	911	Same-Family-Merge	yes	Sp8(9)
Anc1	Sp8(3)	812	Shared (Strict)	yes	Sp8(3)
Anc1	Sp8(4)	880	Shared (Strict)	yes	Sp8(4)
Anc1	Sp12(5)	573	Shared (Strict)	yes	Sp12(5)
Anc1	Sp6(9)	198	Shared (Strict)	yes	Sp6(9)
Anc1	Sp3(9)	564	Shared (Strict)	yes	Sp3(9)
Anc1	Sp8(8)	787	Shared (Strict)	yes	Sp8(8)
Anc1	Sp8(2)	392	Shared (Strict)	yes	Sp8(2)
Anc1	Sp8(13)	610	Shared (Strict)	yes	Sp8(13)
Anc1	Sp8(1)	862	Nested (Strict)	no	
Anc1	Sp10(5)	247	Cleaned-Merge	yes	Sp10(5)
Anc1	Sp10(8):281-497	217	Cleaned-Merge	no	
Anc1	Sp8(9):281-911	631	Cleaned-Merge	no	
Anc1	Sp10(7):1-261	261	Cleaned-Merge	no	
Anc1	Sp8(12)	365	Cleaned-Merge	no	
Anc1	Sp8(14)	467	Cleaned-Merge	no	
Anc3	Sp10(1)	1677	Shared (Strict)	no	
Anc3	Sp8(3)	812	Shared (Strict)	yes	Sp8(3)
Anc3	Sp8(4)	880	Shared (Strict)	yes	Sp8(4)
Anc3	Sp10(5)	247	Shared (Strict)	yes	Sp10(5)
Anc3	Sp12(5)	573	Shared (Strict)	yes	Sp12(5)
Anc3	Sp10(7)	892	Shared (Strict)	no	
Anc3	Sp6(9)	198	Shared (Strict)	yes	Sp6(9)
Anc3	Sp3(9)	564	Shared (Strict)	yes	Sp3(9)
Anc3	Sp12(11)	713	Shared (Strict)	yes	Sp12(11)
Anc3	Sp8(8)	787	Nested (Strict)	yes	Sp8(8)
Anc3	Sp10(8):281-497	217	Cleaned-Merge	no	
Anc3	Sp11(12):341-465	125	Cleaned-Merge	no	
Anc3	Sp11(2):1-547	547	Cleaned-Merge	no	
Anc4	Sp8(3)	812	Shared (Strict)	yes	Sp8(3)
Anc4	Sp8(4)	880	Shared (Strict)	yes	Sp8(4)
Anc4	Sp8(5)	1062	Shared (Strict)	no	
Anc4	Sp12(5)	573	Shared (Strict)	yes	Sp12(5)
Anc4	Sp8(7)	478	Shared (Strict)	yes	Sp8(7)
Anc4	Sp8(8)	787	Shared (Strict)	yes	Sp8(8)
